,p1,p2,first_turn,winner,turn_count,final_board_state
0,AIv3,Random,AIv3,AIv3,19,"[[ 0  0  0  0  0  0  0]
 [ 0  0  0  0  0  0  0]
 [14  0  0  0  0  0 10]
 [12 18  0  0  0  0  9]
 [11 16  8 17  0 15  7]
 [ 5 13  1  6  4  3  2]]"
0,AIv3,Random,Random,AIv3,20,"[[ 0  0  0  0  0  0  0]
 [ 0  0  0  0  0  0  0]
 [16  0  0  0  0  0 19]
 [ 8  0  0  0 18 11 17]
 [ 7  0 12 14 15 10  5]
 [ 6  9  4  1 13  2  3]]"
0,AIv3,Random,AIv3,AIv3,21,"[[ 0  0  0  0  0  0  0]
 [ 0  0  0 17  0  0  0]
 [ 0  0  0  9  0 20 14]
 [ 0  0  0  6  0 18 13]
 [19 10 16  5  0 12 11]
 [ 1  7  4  3 15  2  8]]"
0,AIv3,Random,Random,AIv3,12,"[[ 0  0  0  0  0  0  0]
 [ 0  0  0  0  0  0  0]
 [ 0  0  0  0  0  0  0]
 [ 0  0  0  0  0  0  5]
 [ 0  8  0  6 10  0  3]
 [ 0  4 11  1  9  7  2]]"
0,AIv3,Random,AIv3,AIv3,13,"[[ 0  0  0  0  0  0  0]
 [ 0  0  0  0  0  0  0]
 [ 0  0  0  0  0  0 12]
 [ 0  0  0  0  0  0 10]
 [ 0  0  0  9  0 11  4]
 [ 3  8  5  7  6  1  2]]"
0,AIv3,Random,Random,AIv3,10,"[[0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0]
 [8 0 0 0 0 0 0]
 [6 0 0 0 0 0 4]
 [5 2 0 1 9 7 3]]"
0,AIv3,Random,AIv3,AIv3,21,"[[ 0  0  0  0  0  0 17]
 [ 0  0  0  0  0  0 15]
 [ 0  0  0 11  0  0 14]
 [ 0  0 20  6 16 10  9]
 [ 0  0 18  5 12  7  8]
 [19  0 13  3  4  1  2]]"
0,AIv3,Random,Random,AIv3,10,"[[0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0]
 [0 0 0 0 0 0 9]
 [0 0 0 0 0 0 7]
 [0 0 0 2 0 0 5]
 [8 0 6 1 0 4 3]]"
0,AIv3,Random,AIv3,AIv3,21,"[[ 0  0  0  0  0  0  0]
 [ 0  0  0  0  0  0  0]
 [ 0  0  0 18  0 16  0]
 [15  0  0 17 20 11  4]
 [14 13  0  5 19  8  3]
 [ 9  7 10  1 12  6  2]]"
0,AIv3,Random,Random,AIv3,14,"[[ 0  0  0  0  0  0 10]
 [ 0  0  0  0  0  0  8]
 [ 0  0  0  0  0  0  7]
 [ 0  0  0  0  0 13  6]
 [ 0  0  0  4 11 12  5]
 [ 0  0  0  1  9  2  3]]"
0,AIv3,Random,AIv3,AIv3,19,"[[ 0  0  0  0  0  0  0]
 [ 0  0  0  0  0  0  0]
 [ 0  0  0  0  0  0 18]
 [13  0  0  0 17 12 16]
 [ 9 14  0 15 10 11  4]
 [ 8  3  7  5  6  1  2]]"
0,AIv3,Random,Random,Random,35,"[[ 0  0 22  0  0 32 30]
 [33  0 21  0  0 24 17]
 [31 26 19 34  0 23 16]
 [20  7 18 29 28  9 15]
 [12  6 14 13 27  8  5]
 [11  4 10  1 25  2  3]]"
0,AIv3,Random,AIv3,AIv3,17,"[[ 0  0  0  0  0  0  0]
 [ 0  0  0  0  0  0  0]
 [ 8  0  0  0  0  0  0]
 [ 6  0 13  0 15  0  0]
 [ 5 16 12 14 10  0  0]
 [ 3 11  4  1  7  9  2]]"
0,AIv3,Random,Random,AIv3,24,"[[ 0  0  0  0  0  0  0]
 [ 0  0 14  0  0  0 19]
 [ 0  0  8  0 23 18 16]
 [ 0  0  7 22 21 13 15]
 [17  0  6 20 11 12  5]
 [10  0  2  1  9  4  3]]"
0,AIv3,Random,AIv3,AIv3,11,"[[ 0  0  0  0  0  0  0]
 [ 0  0  0  0  0  0  0]
 [ 0  0  0  0  0  0 10]
 [ 0  0  0  0  9  0  8]
 [ 0  7  0  0  5  0  6]
 [ 0  1  0  3  4  0  2]]"
0,AIv3,Random,Random,AIv3,12,"[[ 0  0  0  0  0  0  0]
 [ 0  0  0  0  0  0  0]
 [ 0  0 11  0  0  0  0]
 [ 0  0  9  0  0  0  0]
 [ 0  0  7  4  0  0  0]
 [ 8 10  5  1  2  6  3]]"
0,AIv3,Random,AIv3,AIv3,9,"[[0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0]
 [0 0 0 0 0 0 7]
 [0 0 0 0 0 0 5]
 [0 3 1 6 4 8 2]]"
0,AIv3,Random,Random,AIv3,20,"[[ 0  0  0  0  0  0  0]
 [ 0  0  0  0  0  0  0]
 [16  0  0  0  0  0  0]
 [15 13 11 19  0  0 14]
 [10 12  9 17 18  0  5]
 [ 7  2  6  1  4  8  3]]"
0,AIv3,Random,AIv3,Random,22,"[[ 0  0  0  0  0  0  0]
 [ 0  0 20  0  0  0 21]
 [ 0  0 18  0 12  0  7]
 [ 0  0 16 19 11 14  4]
 [ 0  0 15 13  9 10  2]
 [ 0 17  3  8  5  6  1]]"
0,AIv3,Random,Random,AIv3,8,"[[0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0]
 [6 0 0 0 0 4 0]
 [2 0 5 1 7 3 0]]"
0,AIv3,Random,AIv3,AIv3,19,"[[ 0  0  0  0  0  0  0]
 [ 0  0  0  0  0  0 17]
 [ 0 18  0  0  0  0 11]
 [ 0 16 14  0  0  0 10]
 [15  8 13  0 12  0  7]
 [ 9  6  1  3  5  4  2]]"
0,AIv3,Random,Random,AIv3,16,"[[ 0  0  0  0  0  0  0]
 [ 0  0  0  0  0  0  0]
 [ 0  0  0  0  0  0  0]
 [ 0  0 14  0 12  0  5]
 [ 0  0 11  6  8 10  3]
 [15 13  7  1  4  9  2]]"
0,AIv3,Random,AIv3,AIv3,17,"[[ 0  0  0  0  0  0  0]
 [ 0  0  0  0  0  0  0]
 [ 0  0  0 16  8 15  0]
 [ 0  0  0 14  7 12  0]
 [ 0  0  0 10  5 11 13]
 [ 9  0  1  6  4  3  2]]"
0,AIv3,Random,Random,AIv3,18,"[[ 0  0  0  0  0  0  0]
 [ 0  0  0  0  0  0  0]
 [ 0  0  0  0  0 17 14]
 [ 9 16  0  0  0 15  5]
 [ 7 10  0  8  0 13  3]
 [ 6  4  0  1 12 11  2]]"
0,AIv3,Random,AIv3,Random,18,"[[ 0  0  0  0  0  0  0]
 [ 0  0  0  0  0  0  0]
 [ 0 14  0  8  0  0  0]
 [ 0 13 15  7 17  0  0]
 [ 0  9 12  5 10  0  0]
 [16  1  6  4  3 11  2]]"
0,AIv3,Random,Random,AIv3,14,"[[ 0  0  0  0  0  0  0]
 [ 0  0  0  0  0  0  0]
 [ 0  0  0  0  0 12  0]
 [ 0  0  0 13  7 11  5]
 [ 0  0  0  9  6 10  3]
 [ 0  0  0  1  4  8  2]]"
0,AIv3,Random,AIv3,AIv3,25,"[[ 0  0  0  0  0  0 15]
 [ 0  0  0  0  0  0 12]
 [21 23  0  0  0 24 11]
 [ 4 17 13  0  0 22  9]
 [ 3 16 10 19  0 20  8]
 [ 1 14  5  6 18  2  7]]"
0,AIv3,Random,Random,AIv3,12,"[[ 0  0  0  0  0  0  0]
 [ 0  0  0  0  0  0  0]
 [ 0  0  0 11  0  0  8]
 [ 0  0  0  9  0  0  5]
 [ 0  0  0  7  0  0  3]
 [10  0  4  1  6  0  2]]"
0,AIv3,Random,AIv3,Random,28,"[[ 0 19  0  0  0 20  0]
 [ 0 17  0  0  0 18  0]
 [ 0 16  0  0  0 14 27]
 [ 0 15 26  4 24 11 25]
 [21 13 22  3 23 10  9]
 [ 5  7  6  1 12  8  2]]"
0,AIv3,Random,Random,AIv3,12,"[[ 0  0  0  0  0  0  0]
 [ 0  0  0  0  0  0  0]
 [ 0  0  0  0  0  0 11]
 [ 0  0  0  0  0  0  9]
 [ 0  8  5  6  0  0  7]
 [10  2  4  1  0  0  3]]"
0,AIv3,Random,AIv3,AIv3,29,"[[26  0  0  0  0  0 15]
 [23  0  0  0  0  0 12]
 [22  0 25  0  0 20  9]
 [21  0 24 28 27 19  4]
 [18 13 17 11 16 14  3]
 [ 7  8  5  1 10  6  2]]"
0,AIv3,Random,Random,AIv3,20,"[[ 0  0  0  0  0  0  0]
 [ 0 19  0  0 18  0  0]
 [ 0 17  0  0 14  0  0]
 [ 0 15  0  0  7 12 10]
 [ 0 13  0  9  6 11  5]
 [16  8  0  1  2  4  3]]"
0,AIv3,Random,AIv3,AIv3,19,"[[ 0  0  0  0  0  0  0]
 [ 0  0  0  0  0  0  0]
 [ 0  0  0 14  0  0 16]
 [ 0  4  0 13 15 18  6]
 [ 0  3  0  9 12 11  5]
 [ 0  1 17  8  7 10  2]]"
0,AIv3,Random,Random,AIv3,28,"[[26 24  0  0  0  0  0]
 [19 22  0  0  0  0 20]
 [17 21  0  0  0  0 11]
 [16  7 14  0  0 27  5]
 [15  6 10 12 23 25  4]
 [13  2  9  1  8 18  3]]"
0,AIv3,Random,AIv3,AIv3,19,"[[ 0  0  0  0  0  0  0]
 [ 0  0  0  0  0  0  0]
 [13 18  0  0  0  0  0]
 [ 8 16 15  0  0  0 17]
 [ 7 14  9 10  0  0 11]
 [ 1 12  4  3  5  2  6]]"
0,AIv3,Random,Random,AIv3,30,"[[ 0  0  0  0 26 28 20]
 [ 0  0  0  0 19 24  9]
 [ 0  0  0 23 17 13  8]
 [ 0  0 27 21 16 12  7]
 [22 29 25  2 15 11  5]
 [18 14  4  1  6 10  3]]"
0,AIv3,Random,AIv3,AIv3,17,"[[ 0  0  0  0  0  0  0]
 [ 0  0  0  0  0  0  0]
 [ 0  0  0  0  0  0 16]
 [ 6  0  0  0  0 12  9]
 [ 5  0  0 15 14 10  4]
 [ 3 13 11  8  7  1  2]]"
0,AIv3,Random,Random,AIv3,16,"[[ 0  0  0  0  0  0  0]
 [ 0  0  0  0  0  0  0]
 [ 0  0  0 13  0  0  0]
 [ 0  0  0 12 15  0  0]
 [ 0  0  9  6 14 11 10]
 [ 2  8  7  1  4  3  5]]"
0,AIv3,Random,AIv3,AIv3,9,"[[0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0]
 [0 0 0 7 0 0 5]
 [0 1 3 6 4 8 2]]"
0,AIv3,Random,Random,AIv3,10,"[[0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0]
 [0 0 0 0 0 0 9]
 [0 0 0 0 0 0 7]
 [0 0 8 6 0 0 5]
 [0 0 4 1 0 2 3]]"
0,AIv3,Random,AIv3,AIv3,11,"[[ 0  0  0  0  0  0  0]
 [ 0  0  0  0  0  0  0]
 [ 0  0  0  0  0  0 10]
 [ 0  0  0  0  0  0  8]
 [ 0  0  0  9  5  0  6]
 [ 7  0  0  1  3  4  2]]"
0,AIv3,Random,Random,AIv3,20,"[[ 0  0  0  0  0  0 15]
 [ 0  0  0  0  0 19 13]
 [ 0  0  0  0  0 17 12]
 [ 0  0  0 18  0  7  8]
 [ 9  0 11 16  0  5  3]
 [ 6  0 10  1 14  4  2]]"
0,AIv3,Random,AIv3,AIv3,15,"[[ 0  0  0  0  0  0  0]
 [ 0  0  0  0  0 11  0]
 [ 0  0  0  0 14 10  0]
 [ 0  0  0  0 12  9  0]
 [ 0  0 13  0  8  5  2]
 [ 3  0  7  0  6  4  1]]"
0,AIv3,Random,Random,AIv3,8,"[[0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0]
 [6 0 0 0 0 4 0]
 [2 0 5 1 7 3 0]]"
0,AIv3,Random,AIv3,AIv3,15,"[[ 0  0  0  0  0  0  0]
 [ 0  0  0  0  0  0  0]
 [ 0  0  0  0 14  0  0]
 [ 0  0  0  0 12  0 11]
 [ 0  0  9 13 10  7  6]
 [ 1  0  4  3  8  2  5]]"
0,AIv3,Random,Random,AIv3,20,"[[ 0  0  0  0  0  0  0]
 [ 0  0  0  0  0  0  0]
 [13  0  0  0  0  0  0]
 [12  0  7 18  0  0 16]
 [10 15  6 11 19 17  9]
 [ 2  5  4  1 14  3  8]]"
0,AIv3,Random,AIv3,AIv3,17,"[[ 0  0  0  0  0  0  0]
 [ 0  0  0  0  0  0  0]
 [ 0  0  0  0  0  0 16]
 [ 0 13 15  0  0  0 14]
 [ 0 12 11  7  9 10  4]
 [ 0  3  8  6  5  1  2]]"
0,AIv3,Random,Random,AIv3,14,"[[ 0  0  0  0  0  0  0]
 [ 0  0  0  0  0  0  0]
 [ 0  0  0  0  0  0 11]
 [ 0  0  0  0  0 13  5]
 [ 0  0  0  0  9  8  4]
 [ 6 12 10  1  2  7  3]]"
0,AIv3,Random,AIv3,AIv3,9,"[[0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0]
 [0 0 0 5 0 0 0]
 [1 3 7 4 8 2 6]]"
0,AIv3,Random,Random,AIv3,18,"[[ 0  0  0  0  0  0  0]
 [ 0  0  0  0  0  0  0]
 [17  0  0  5  0  0 16]
 [15  0  0  4  0  0 14]
 [13  0  0  2 10 12  9]
 [11  0  8  1  7  6  3]]"
0,AIv3,Random,AIv3,AIv3,23,"[[22  0  0  0  0  0  0]
 [21  0  0  0  0  0  0]
 [20  0  0  0  0  0 10]
 [18  0  0 14 19  0  9]
 [16 11 17 13  8 12  7]
 [15  5  6  3  1  4  2]]"
0,AIv3,Random,Random,AIv3,10,"[[0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0]
 [0 0 0 0 0 0 9]
 [0 0 0 0 0 0 7]
 [0 0 0 6 0 8 5]
 [0 0 2 1 0 4 3]]"
0,AIv3,Random,AIv3,AIv3,11,"[[ 0  0  0  0  0  0  0]
 [ 0  0  0  0  0  0  0]
 [ 0  0  0  0  0  0 10]
 [ 0  0  0  0  0  0  8]
 [ 9  0  0  5  0  0  6]
 [ 3  0  1  4  7  0  2]]"
0,AIv3,Random,Random,AIv3,12,"[[ 0  0  0  0  0  0  0]
 [ 0  0  0  0  0  0  8]
 [ 0  0  0  0  0  0  7]
 [ 0  0  0  0  0  0  6]
 [ 0  0  0  0  0  0  4]
 [ 5  2 10  1  9 11  3]]"
